id,title
889,"Holy Apostles College and Seminary"
890,"Housatonic Community College"
891,"Sanford-Brown College-Farmington"
892,"The Leon Institute of Hair Design"
893,"Lyme Academy College of Fine Arts"
894,"Manchester Community College"
895,"Naugatuck Valley Community College"
896,"Middlesex Community College"
897,"Mitchell College"
898,"Three Rivers Community College"
899,"Lincoln Technical Institute-New Britain"
900,"New England Tractor Trailer Training School of Connecticut"
901,"University of New Haven"
902,"Ridley-Lowell Business & Technical Institute"
903,"Norwalk Community College"
904,"Northwestern Connecticut Community College"
905,"Paier College of Art Inc"
906,"Brio Academy of Cosmetology-Meriden"
907,"Porter and Chester Institute of Stratford"
908,"Post University"
909,"Quinebaug Valley Community College"
910,"Quinnipiac University"
911,"Sacred Heart University"
912,"Saint Joseph College"
913,"Gateway Community College"
914,"St Vincent's College"
915,"Southern Connecticut State University"
916,"Stone Academy-Hamden"
917,"Tri-State College of Acupuncture"
918,"Tunxis Community College"
919,"United States Coast Guard Academy"
920,"Western Connecticut State University"
921,"Yale-New Haven Hospital Dietetic Internship"
922,"Beebe Medical Center Margaret H. Rollins School of Nursing"
923,"Dawn Career Institute Inc"
924,"Delaware Technical Community College-Central Office"
925,"Delaware Technical Community College-Owens"
926,"Delaware Technical Community College-Terry"
927,"Delaware Technical Community College-Stanton/Wilmington"
928,"Delaware State University"
929,"University of Delaware"
930,"Goldey-Beacom College"
931,"Schilling-Douglas School of Hair Design"
932,"Wesley College"
933,"Wilmington University"
934,"American University"
935,"Catholic University of America"
936,"Corcoran College of Art and Design"
937,"University of the District of Columbia"
938,"Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies"
939,"Gallaudet University"
940,"George Washington University"
941,"Howard University"
942,"Dudley Beauty College"
943,"Medtech Institute"
944,"Strayer University-District of Columbia"
945,"National Conservatory of Dramatic Arts"
946,"Trinity Washington University"
947,"Wesley Theological Seminary"
948,"Wyotech-Daytona"
949,"The Art Institute of Fort Lauderdale"
950,"Atlantic Technical Center"
951,"The Baptist College of Florida"
952,"Barry University"
953,"Gooding Institute of Nurse Anesthesia"
954,"Bethune-Cookman University"
955,"Lynn University"
956,"GUTI The Premier Beauty & Wellness Academy"
957,"Bradford-Union Area Career Technical Center"
958,"Brevard Community College"
959,"Broward College"
960,"Fortis College-Winter Park"
961,"Carlos Albizu University-Miami"
962,"College of Central Florida"
963,"Florida Christian College"
964,"University of Central Florida"
965,"Charlotte Technical Center"
966,"Chipola College"
967,"Clearwater Christian College"
968,"Lorenzo Walker Institute of Technology"
969,"Daytona State College"
970,"South University-West Palm Beach"
971,"Eckerd College"
972,"Edison State College"
973,"Edward Waters College"
974,"Embry-Riddle Aeronautical University-Daytona Beach"
975,"Florida Agricultural and Mechanical University"
976,"Florida Atlantic University"
977,"Florida State College at Jacksonville"
978,"Flagler College-St Augustine"
979,"Florida College"
980,"Concorde Career Institute-Jacksonville"
981,"Concorde Career Institute-Miramar"
982,"Concorde Career Institute-Tampa"
983,"Florida Hospital College of Health Sciences"
984,"Florida Institute of Technology"
985,"Florida Institute of Ultrasound Inc"
986,"Florida International University"
987,"Florida Keys Community College"
988,"Florida Memorial University"
989,"Florida Career College-Miami"
990,"Florida School of Massage"
991,"Florida Southern College"
992,"Florida State University"
993,"Florida Technical College"
994,"Southern Career College"
995,"University of Florida"
996,"Everest University-Pompano Beach"
997,"Fort Pierce Beauty Academy"
998,"Full Sail University"
999,"George Stone Career Center"
1000,"George T Baker Aviation School"
1001,"Gulf Coast State College"
1002,"Key College"
1003,"Hillsborough Community College"
1004,"Hobe Sound Bible College"
1005,"Hollywood Institute of Beauty Careers"
1006,"Cortiva Institute-Florida"
1007,"Indian River State College"
1008,"International Academy of Design and Technology-Tampa"
1009,"International Academy"
1010,"AI Miami International University of Art and Design"
1011,"ATI College of Health"
1012,"ITT Technical Institute-Tampa"
1013,"Jacksonville University"
1014,"Jones College-Jacksonville"
1015,"Keiser University-Ft Lauderdale"
1016,"Heritage Institute-Ft Myers"
1017,"La Belle Beauty School"
1018,"Florida Gateway College"
1019,"Lake Technical Center"
1020,"Lake-Sumter Community College"
1021,"Fort Myers Institute of Technology"
1022,"Lively Technical Center"
1023,"Lindsey Hopkins Technical Education Center"
1024,"Loraines Academy Inc"
1025,"Luther Rice University"
1026,"State College of Florida-Manatee-Sarasota"
1027,"Manatee Technical Institute"
1028,"Manhattan Hairstyling Academy"
1029,"Margate School of Beauty Inc"
1030,"Traviss Career Center"
1031,"Trinity International University-Florida"
1032,"Miami Lakes Educational Center"
1033,"Miami Dade College"
1034,"University of Miami"
1035,"Mid Florida Tech"
1036,"Beauty Schools of America-Miami"
1037,"Remington College-Tampa Campus"
1038,"Everest Institute-North Miami"
